Status,Last Name,First Name,CID,X-Coord,Y-Coord,Quad,Floor
0,Wayne,Bruce,1000,2,4,1,5
0,Prince,Diana,1001,5,3,3,1
0,Kent,Clark,1002,6,7,5,2
0,Drake,Tim,1003,8,2,7,4
0,Cain,Cassandra,1004,1,6,3,4
0,Zor-El,Kara,1005,4,8,8,5
0,Zatarra,Zatanna,1006,5,0,3,1
0,Reyes,Jamie,1007,2,2,7,1
0,Roth,Raven,1008,4,3,0,3
1,Todd,Jason,1009,7,3,2,1
0,Gordon,Barbara,1010,2,6,6,3
1,Quinn,Harley,1011,5,2,3,1
1,Kyle,Selina,1012,6,6,0,5
0,Yamashiro,Tatsu,1013,3,3,4,1
1,Curry,Arthur,1014,6,0,0,1
1,Grant,Theodore,1015,5,6,5,2
0,Jordan,Hal,1016,4,6,6,4
0,Stewart,John,1017,6,3,5,3
0,Lance,Dinah,1018,6,3,3,2
0,Elizabeth,Courtney,1019,3,2,2,
