Status,Last Name,First Name,CID,X-Coord,34,Quad,Floor
1,Poirot,Hercule,1000,4,6,1,5
0,Hastings,John,1001,3,6,3,1
0,Lemon,Felicity,1002,6,4,5,3
0,Japp,James,1003,7,3,3,2
1,Battle,Colin,1004,6,0,0,1
1,Marple,Jane,1005,3,6,0,5
0,Pevensie,Peter,1006,8,3,4,2
1,Pevensie,Susan,1007,2,7,1,2
0,Pevensie,Edmund,1008,3,7,4,3
1,Pevensie,Lucy,1009,7,1,1,3
0,Baggins,Bilbo,1010,8,8,0,1
1,Holmes,Sherlock,1011,4,2,0,2
1,Watson,John,1012,6,6,4,4
1,Moriarty,James,1013,2,4,5,2
0,Ryan,Jack,1014,3,8,0,5
0,Greer,James,1015,0,6,0,2
0,Finn,Huckleberry,1016,2,2,2,1
0,Drew,Nancy,1017,3,6,5,1
0,Hardy,Frank,1018,0,5,7,4
0,Hardy,Joe,1019,0,5,2,4
